2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
0.93,0.26,0.4,0.28,0.29,0.32,0.7,0.7,0.39,0.67,0.37,0.52,0.26,0.41,0.45,0.24,0.7,0.28,1.45,0.4
1.07,0.35,0.19,0.14,0.53,0.52,0.5,0.44,0.8,0.42,0.39,0.35,0.35,0.43,0.26,0.28,0.42,0.48,1.6,0.31
,0.38,0.19,0.23,0.36,0.79,0.36,0.22,0.28,0.37,0.44,0.45,-0.17,0.59,0.17,0.23,0.71,1.59,1.38,0.84
,0.18,0.49,0.28,-0.08,0.41,0.65,0.67,0.84,0.83,0.75,1.17,-0.01,0.82,0.43,0.21,0.38,0.6,0.81,0.32
,0.21,0.09,0.3,0.13,0.19,0.45,1.37,1.24,1.3,2.03,0.93,0.25,1.1,0.55,0.81,0.54,1.74,2.98,2.47
,0.32,0.44,0.76,1.36,1.52,1.87,1.25,1.96,1.31,1.43,1.77,1.53,2.67,1.67,1.45,2.2,0.56,0.74,0.21
,0.84,0.91,0.72,0.22,1.09,0.66,0.8,0.73,0.85,0.59,0.62,0.37,1.42,0.21,0.57,0.65,1.12,0.59,0.63
,0.82,0.34,0.3,0.4,0.26,0.8,0.19,0.31,0.32,0.16,0.22,0.01,1.27,0.35,0.35,0.05,0.9,2.2,0.82
,1.15,0.6,0.17,0.14,0.37,0.22,0.16,0.43,0.21,0.14,0.2,0.07,0.95,0.39,0.09,0.06,0.67,0.24,0.68
,1.69,0.12,0.33,0.19,0.17,0.27,0.2,0.33,0.24,0.2,0.15,0.13,0.85,0.49,0.18,0.28,0.95,0.47,0.82
,1.29,0.15,0.26,0.28,0.17,0.4,0.3,0.27,0.23,0.5,0.36,0.18,0.65,0.48,0.23,0.29,0.94,0.42,2.19
,0.88,0.14,0.13,0.14,0.36,0.12,0.25,0.22,0.29,0.35,0.59,0.2,0.22,0.43,0.3,0.38,0.61,0.99,2.13
